Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
KUTYA UTCA,stimuli/scenes/061a.jpg,scene,right,Hippopolis,2,stimuli/objects/042a.jpg,stimuli/objects/051b.jpg,stimuli/objects/042a.jpg,stimuli/objects/042b.jpg,stimuli/objects/051a.jpg,dist2,target,lure,dist1
KOCKA UTCA,stimuli/scenes/078a.jpg,scene,right,Hippopolis,1,stimuli/scenes/105a.jpg,stimuli/objects/087a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/105b.jpg,stimuli/objects/087b.jpg,dist1,target,lure,dist2
SZILVA UTCA,stimuli/objects/016a.jpg,object,left,Hippopolis,1,stimuli/objects/044a.jpg,stimuli/objects/044b.jpg,stimuli/scenes/010b.jpg,stimuli/objects/044a.jpg,stimuli/scenes/010a.jpg,lure,dist2,target,dist1
HERNYÓ UTCA,stimuli/objects/050a.jpg,object,left,Hippopolis,1,stimuli/objects/041a.jpg,stimuli/objects/065a.jpg,stimuli/objects/065b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,dist1,dist2,target,lure
SALÁTA UTCA,stimuli/objects/035a.jpg,object,left,Hippopolis,0,stimuli/objects/035a.jpg,stimuli/objects/035b.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,stimuli/objects/035a.jpg,lure,dist1,dist2,target
FÜGE UTCA,stimuli/scenes/072a.jpg,scene,right,Hippopolis,1,stimuli/scenes/096a.jpg,stimuli/objects/004b.jpg,stimuli/scenes/096b.jpg,stimuli/objects/004a.jpg,stimuli/scenes/096a.jpg,dist2,lure,dist1,target
PÁLMAFA UTCA,stimuli/objects/071a.jpg,object,left,Hippopolis,2,stimuli/scenes/034a.jpg,stimuli/scenes/034b.jpg,stimuli/objects/107b.jpg,stimuli/objects/107a.jpg,stimuli/scenes/034a.jpg,lure,dist2,dist1,target
BONBON UTCA,stimuli/scenes/047a.jpg,scene,right,Hippopolis,0,stimuli/scenes/047a.jpg,stimuli/scenes/047b.jpg,stimuli/scenes/047a.jpg,stimuli/objects/061b.jpg,stimuli/objects/061a.jpg,lure,target,dist2,dist1
ZÁSZLÓ UTCA,stimuli/objects/028a.jpg,object,left,Hippopolis,0,stimuli/objects/028a.jpg,stimuli/objects/028a.jpg,stimuli/scenes/063a.jpg,stimuli/objects/028b.jpg,stimuli/scenes/063b.jpg,target,dist1,lure,dist2
TISZTÁS UTCA,stimuli/objects/064a.jpg,object,left,Hippopolis,1,stimuli/objects/104a.jpg,stimuli/objects/086b.jpg,stimuli/objects/086a.jpg,stimuli/objects/104a.jpg,stimuli/objects/104b.jpg,dist2,dist1,target,lure
CSILLAG UTCA,stimuli/scenes/033a.jpg,scene,right,Hippopolis,2,stimuli/objects/097a.jpg,stimuli/objects/097b.jpg,stimuli/objects/097a.jpg,stimuli/objects/029b.jpg,stimuli/objects/029a.jpg,lure,target,dist2,dist1
KIRAKÓ UTCA,stimuli/scenes/098a.jpg,scene,right,Hippopolis,2,stimuli/objects/055a.jpg,stimuli/objects/049b.jpg,stimuli/objects/055a.jpg,stimuli/objects/055b.jpg,stimuli/objects/049a.jpg,dist2,target,lure,dist1
