Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
VASALÓ UTCA,stimuli/objects/105a.jpg,object,left,Camponello,0,stimuli/objects/105a.jpg,stimuli/scenes/038a.jpg,stimuli/objects/105a.jpg,stimuli/scenes/038b.jpg,stimuli/objects/105b.jpg,dist1,target,dist2,lure
VIHAR UTCA,stimuli/scenes/120a.jpg,scene,right,Camponello,0,stimuli/scenes/120a.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/120a.jpg,dist1,dist2,lure,target
ORVOS UTCA,stimuli/objects/062a.jpg,object,left,Camponello,0,stimuli/objects/062a.jpg,stimuli/objects/062a.jpg,stimuli/scenes/093a.jpg,stimuli/scenes/093b.jpg,stimuli/objects/062b.jpg,target,dist1,dist2,lure
ZONGORA UTCA,stimuli/objects/050a.jpg,object,left,Camponello,0,stimuli/objects/050a.jpg,stimuli/objects/050a.jpg,stimuli/scenes/045b.jpg,stimuli/objects/050b.jpg,stimuli/scenes/045a.jpg,target,dist2,lure,dist1
TENISZ UTCA,stimuli/scenes/005a.jpg,scene,right,Camponello,2,stimuli/objects/077a.jpg,stimuli/scenes/026b.jpg,stimuli/objects/077b.jpg,stimuli/scenes/026a.jpg,stimuli/objects/077a.jpg,dist2,lure,dist1,target
KESELYŰ UTCA,stimuli/scenes/053a.jpg,scene,right,Camponello,0,stimuli/scenes/053a.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/053b.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/053a.jpg,dist1,lure,dist2,target
LABDA UTCA,stimuli/objects/115a.jpg,object,left,Camponello,0,stimuli/objects/115a.jpg,stimuli/objects/115a.jpg,stimuli/objects/005b.jpg,stimuli/objects/115b.jpg,stimuli/objects/005a.jpg,target,dist2,lure,dist1
RIBIZLI UTCA,stimuli/scenes/029a.jpg,scene,right,Camponello,0,stimuli/scenes/029a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/086b.jpg,lure,target,dist1,dist2
SZOMSZÉD UTCA,stimuli/scenes/023a.jpg,scene,right,Camponello,0,stimuli/scenes/023a.jpg,stimuli/scenes/113b.jpg,stimuli/scenes/023b.jpg,stimuli/scenes/023a.jpg,stimuli/scenes/113a.jpg,dist2,lure,target,dist1
KRÉTA UTCA,stimuli/scenes/054a.jpg,scene,right,Camponello,0,stimuli/scenes/054a.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/054a.jpg,dist1,lure,dist2,target
TOLLTARTÓ UTCA,stimuli/objects/071a.jpg,object,left,Camponello,1,stimuli/objects/048a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/097a.jpg,stimuli/objects/048a.jpg,stimuli/objects/048b.jpg,dist2,dist1,target,lure
LOVAGLÁS UTCA,stimuli/objects/016a.jpg,object,left,Camponello,2,stimuli/scenes/026a.jpg,stimuli/scenes/026b.jpg,stimuli/objects/065a.jpg,stimuli/scenes/026a.jpg,stimuli/objects/065b.jpg,lure,dist1,target,dist2
CSILLAG UTCA,stimuli/scenes/106a.jpg,scene,right,Camponello,0,stimuli/scenes/106a.jpg,stimuli/objects/062b.jpg,stimuli/objects/062a.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/106b.jpg,dist2,dist1,target,lure
PAPUCS UTCA,stimuli/scenes/059a.jpg,scene,right,Camponello,0,stimuli/scenes/059a.jpg,stimuli/objects/040b.jpg,stimuli/objects/040a.jpg,stimuli/scenes/059a.jpg,stimuli/scenes/059b.jpg,dist2,dist1,target,lure
KERÉK UTCA,stimuli/scenes/077a.jpg,scene,right,Camponello,0,stimuli/scenes/077a.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/077b.jpg,target,dist2,dist1,lure
NARANCS UTCA,stimuli/scenes/109a.jpg,scene,right,Camponello,0,stimuli/scenes/109a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/109a.jpg,lure,dist2,dist1,target
PAPRIKA UTCA,stimuli/scenes/099a.jpg,scene,right,Camponello,1,stimuli/scenes/076a.jpg,stimuli/objects/048a.jpg,stimuli/objects/048b.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,dist1,dist2,lure,target
KAKAÓ UTCA,stimuli/objects/036a.jpg,object,left,Camponello,1,stimuli/objects/019a.jpg,stimuli/objects/092a.jpg,stimuli/objects/092b.jpg,stimuli/objects/019a.jpg,stimuli/objects/019b.jpg,dist1,dist2,target,lure
SÜTEMÉNY UTCA,stimuli/objects/103a.jpg,object,left,Camponello,0,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,stimuli/objects/049b.jpg,stimuli/objects/049a.jpg,lure,target,dist2,dist1
